block,count
3350H,54
3350I,44
3350J,92
3355,39
3355A,50
3357,11
3357A,18
3357B,2
3357C,26
3357D,6
3357E,9
3357F,15
3357G,4
3357H,55
3357I,20
3357J,8
3389,40
3390B,253
3390D,26
3390F,5
3392,41
3393,33
3394,51
3395,37
3397,34
3398,42
3400,93
3402,45
3403,78
3404,40
3405,15
3406,63
3407,165
3408,146
3409,1
3410,89
3411,38
3413,77
3414,54
3415,24
3416,58
3417,138
3418,47
3418A,65
3420,21
3421,54
3422,76
3423,19
3424,114
3426,61
3427,80
3429,2
3434,2
3435,39
3438B,10
3442,50
3443,61
3444,23
3445,53
3446,88
3447,70
3448,42
3453,93
3454,48
3455,25
3457,53
3459,63
3461,75
3463A,41
3463B,41
3463C,77
3463D,18
3463E,36
3463F,48
3499,3
3500,11
3501,65
3502,38
3502A,92
3503,62
3504,59
3504A,17
3504B,5
3504C,2
3504D,43
3504E,42
3510,67
3511,83
3511C,73
3511D,4
3518A,54
3518B,57
3518C,69
3523,84
3524,3
3525B,49
3526,127
3528,105
3530,98
3532,129
3533,131
3534,139
3536A,51
3536B,59
3537,76
3538,40
3539,47
3540,40
3541,33
3542,120
3542A,74
3542B,36
3547,16
3550,55
3551,36
3552,43
3553,61
3554,54
3555,4
3555A,65
3555B,65
3559,5
3561,118
3563,10
3563A,49
3565,82
3566,46
3567,42
3568,1
3572,24
3574,124
3575,90
3575A,115
3575C,133
3575D,119
3576,25
3576A,97
3577,23
3578,44
3579,35
3580,32
3581,45
3582,33
3583,32
3584,29
3585,13
3585A,4
3585B,2
3590,150
3590A,32
3590B,24
3590C,40
3591,46
3591A,101
3594A,66
3594B,8
3600B,5
3601,11
3602,11
3603,24
3604,1
3607,3
3608,39
3609,20
3610,21
3611,20
3612,15
3615,19
3617,40
3619,58
3620,2
3621,8
3622,9
3623,24
3624,50
3625,1
3626A,4
3626B,2
3626C,5
3630A,110
3630B,45
3634,4
3635,42
3636,34
3637,41
3638,42
3639,97
3640,44
3642,31
3642A,57
3642B,16
3642C,2
3642D,13
3643,7
3644,85
3645,50
3646,62
3647,19
3648,10
3649,45
3650B,34
3650C,51
3651,55
3652,92
3653,80
3657,58
3658,120
3664A,77
3664B,54
3669,1
3670A,58
3670B,70
3671,60
3672,41
3673,66
3675,119
3675A,45
3675B,38
3675C,30
3680,34
3680A,29
3680B,9
3680C,34
3690,5
3695A,459
3695B,287
3698C,1
3701,8
3701A,30
3701B,69
3701C,84
3701D,145
3701E,82
3701F,25
3701G,41
3702,368
3703,16
3704,12
3704A,1
3704B,8
3705,13
3706,7
3707,12
3708,66
3708A,11
3710,14
3710A,14
3711,9
3713,14
3714,7
3715,17
3717,16
3718,7
3719,36
3719A,24
3720,12
3721,14
3722,20
3723,49
3724,66
3725,21
3726,29
3727,17
3728,9
3729,16
3730,1
3732,206
3732A,82
3732B,50
3734,69
3735,31
3736,25
3800,8
3801,13
3802,1
3803,37
3804,67
3805,72
3806,94
3807,1
3808,38
3809,23
3810,44
3811,40
3812,5
3813,59
3814,75
3815,86
3816,68
3817,61
3818,40
3819,15
3820,10
3821,10
3822,68
3823,73
3824,50
3825,49
3826,63
3827,70
3828,51
3829,43
3830,30
3831,30
3832,41
3833,45
3834,66
3836A,99
3836B,48
3837,106
3838,49
3839,35
3840,51
3841,36
3842,46
3843,47
3844,122
3845,102
3846,86
3847,114
3848,48
3849,46
3850,24
3851,32
3852,40
3853,40
3854,38
3855,18
3856,44
3857,61
3857A,53
3858,41
3859,37
3860,22
3861,25
3862,8
3863,7
3864,93
3865,3
3866,67
3867,193
3869,3
3871,11
3872,2
3872B,40
3875,50
3876,53
3877,49
3878,41
3879A,41
3879B,48
3881,38
3881A,3
3882,14
3883,14
3884,37
3885,8
3900,15
3902,43
3903,64
3903A,60
3903B,31
3904,48
3908,30
3911,28
3912,26
3913,99
3913A,55
3913B,60
3913C,27
3913D,7
3919,14
3920,17
3935,135
3936,102
3937,74
3938,31
3941,36
3941A,35
3941B,61
3941C,52
3942,46
3942A,34
3943,11
3944,16
3945,29
3946,22
3947,26
3948,8
3949,21
3949B,23
3949C,19
3949D,16
3950,42
3951,34
3952,65
3953,43
3954,34
3955,45
3956,46
3957,36
3958,28
3959,38
3960,32
3961,30
3962,51
3963,32
3964,30
3965,66
3966,31
3967,29
3969,41
3969A,70
3969E,62
3969F,56
3969G,54
3969H,54
3969I,60
3969J,76
3969L,70
3969M,138
3970,43
3970A,46
3970B,44
3970C,78
3970D,75
3970E,71
3970F,369
3970G,24
3971,9
3971A,35
3971B,50
3971C,58
3971D,22
3971E,27
3971F,40
3971G,65
3971H,68
3971I,36
3971J,30
3971K,76
3972,17
3972A,75
3972B,26
3972C,42
3972D,83
3972E,112
3972F,29
3972G,44
3972H,44
3972I,44
3972J,26
3972K,18
3972L,36
3972M,36
3972N,36
3972O,94
3973,24
3973C,88
3973D,26
3974,34
3975,26
3976,50
3976A,78
3977,27
3977A,30
3977B,36
3978,31
3979,28
3980,29
3981,29
3982,45
3983,43
3984,43
3985,42
3986,13
3986A,13
3986B,16
3986C,10
3986D,12
3986E,23
3986F,42
